@attribute Nombre {'aardvark','antelope','bass','bear','boar','buffalo','calf','carp','catfish','cavy','cheetah','chicken','chub','clam','crab','crayfish','crow','deer','dogfish','dolphin','dove','duck','elephant','flamingo','flea','frog','fruitbat','giraffe','girl','gnat','goat','gorilla','gull','haddock','hamster','hare','hawk','herring','honeybee','housefly','kiwi','ladybird','lark','leopard','lion','lobster','lynx','mink','mole','mongoose','moth','newt','octopus','opossum','oryx','ostrich','parakeet','penguin','pheasant','pike','piranha','pitviper','platypus','polecat','pony','porpoise','puma','pussycat','raccoon','reindeer','rhea','scorpion','seahorse','seal','sealion','seasnake','seawasp','skimmer','skua','slowworm','slug','sole','sparrow','squirrel','starfish','stingray','swan','termite','toad','tortoise','tuatara','tuna','vampire','vole','vulture','wallaby','wasp','wolf','worm','wren'}
@attribute Pelo {'0','1'}
@attribute Plumas {'0','1'}
@attribute Huevos {'0','1'}
@attribute Leche {'0','1'}
@attribute Volador {'0','1'}
@attribute Acuatico {'0','1'}
@attribute Depredador {'0','1'}
@attribute Dentado {'0','1'}
@attribute Vertebrado {'0','1'}
@attribute Respira {'0','1'}
@attribute Venenoso {'0','1'}
@attribute Aletas {'0','1'}
@attribute Patas {'0','2','4','5','6','8'}
@attribute Cola {'0','1'}
@attribute Domestico {'0','1'}
@attribute catsize {'0','1'}
@attribute Tipo {'Amfibio','Ave','Bicho','Invertebrado','Mamifero','Pez','Reptil'}
'aardvark','1','0','0','1','0','0','1','1','1','1','0','0','4','0','0','1','Mamifero'
'antelope','1','0','0','1','0','0','0','1','1','1','0','0','4','1','0','1','Mamifero'
'bass','0','0','1','0','0','1','1','1','1','0','0','1','0','1','0','0','Pez'
'bear','1','0','0','1','0','0','1','1','1','1','0','0','4','0','0','1','Mamifero'
'boar','1','0','0','1','0','0','1','1','1','1','0','0','4','1','0','1','Mamifero'
'buffalo','1','0','0','1','0','0','0','1','1','1','0','0','4','1','0','1','Mamifero'
'calf','1','0','0','1','0','0','0','1','1','1','0','0','4','1','1','1','Mamifero'
'carp','0','0','1','0','0','1','0','1','1','0','0','1','0','1','1','0','Pez'
'catfish','0','0','1','0','0','1','1','1','1','0','0','1','0','1','0','0','Pez'
'cavy','1','0','0','1','0','0','0','1','1','1','0','0','4','0','1','0','Mamifero'
'cheetah','1','0','0','1','0','0','1','1','1','1','0','0','4','1','0','1','Mamifero'
'chicken','0','1','1','0','1','0','0','0','1','1','0','0','2','1','1','0','Ave'
'chub','0','0','1','0','0','1','1','1','1','0','0','1','0','1','0','0','Pez'
'clam','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','Invertebrado'
'crab','0','0','1','0','0','1','1','0','0','0','0','0','4','0','0','0','Invertebrado'
'crayfish','0','0','1','0','0','1','1','0','0','0','0','0','6','0','0','0','Invertebrado'
